alpha,total_matches,early_matches,regular_matches,headhunter_welfare,firm_welfare,worker_welfare,match_welfare,avg_worker_rank_diff,avg_firm_rank_diff,avg_rank_diff_period0,avg_rank_diff_period1
0.0,32,15,17,7.9659642966541275,24.520850487612993,23.88889882602226,48.40974931363525,0.17956249999999999,0.17956249999999999,0.15173333333333333,0.2041176470588235
0.01,24,11,13,4.945647654384232,23.319632195735085,19.329176229780114,42.6488084255152,0.17166666666666666,0.17166666666666666,0.12309090909090908,0.21276923076923077
0.02,26,10,16,5.87873108298004,25.23116913954559,20.683035890479186,45.914205030024775,0.17207692307692304,0.17207692307692304,0.0486,0.24924999999999997
0.03,28,13,15,5.879767806583638,27.188953345797067,23.445022212039763,50.633975557836834,0.14771428571428571,0.14771428571428571,0.08276923076923078,0.20400000000000004
0.04,25,13,12,4.26280597969145,24.197717513986667,22.146861065154614,46.344578579141285,0.11719999999999998,0.11719999999999998,0.1346153846153846,0.09833333333333334
0.05,24,13,11,5.504351371449987,23.437344912356547,20.515869902403537,43.95321481476009,0.13799999999999998,0.13799999999999998,0.10046153846153846,0.1823636363636364
0.06,28,12,16,7.868413746549115,27.28171334867248,22.752142752499324,50.03385610117181,0.145,0.145,0.11533333333333333,0.16725
0.07,25,13,12,7.157506547547628,24.324743242923002,20.608196308473474,44.93293955139647,0.12064,0.12064,0.10215384615384618,0.14066666666666666
0.08,24,13,11,6.522833541669788,23.18093976886124,19.719441579857993,42.900381348719236,0.13,0.13,0.10892307692307693,0.1549090909090909
0.09,23,11,12,6.860339495084347,22.516413990715584,19.52441838690433,42.040832377619914,0.1588695652173913,0.1588695652173913,0.10581818181818181,0.20750000000000002
0.1,25,13,12,8.696941366678525,24.49067608075258,19.679021080132962,44.16969716088554,0.12448000000000001,0.12448000000000001,0.08230769230769232,0.17016666666666666
0.11,24,12,12,8.509362059332695,23.262161546842382,19.69865973097113,42.96082127781351,0.18458333333333332,0.18458333333333332,0.15566666666666668,0.21350000000000002
0.12,25,12,13,8.965055312189536,24.200060810445187,20.435419044308166,44.635479854753356,0.13176,0.13176,0.12633333333333335,0.13676923076923078
0.13,22,11,11,7.071065596381878,21.499380355240138,19.946539500895472,41.44591985613561,0.11181818181818182,0.11181818181818182,0.07363636363636364,0.15
0.14,26,14,12,11.13039730111557,25.276031204760976,20.476757078636126,45.7527882833971,0.15223076923076923,0.15223076923076923,0.11885714285714286,0.19116666666666668
0.15,26,14,12,10.342264083831159,25.2430965588281,22.168015987611653,47.41111254643975,0.1483846153846154,0.1483846153846154,0.10842857142857143,0.19499999999999998
0.16,25,13,12,10.690351000178827,24.409895804678865,20.88646828112889,45.29636408580775,0.1184,0.1184,0.12661538461538463,0.10949999999999999
0.17,28,13,15,12.28020137723978,27.340087922960297,23.4023663469679,50.742454269928196,0.157,0.157,0.11353846153846153,0.19466666666666665
0.18,24,10,14,10.924281576971786,23.65199511342141,20.225428050561902,43.87742316398331,0.12916666666666668,0.12916666666666668,0.1046,0.14671428571428574
0.19,28,12,16,14.136275303647695,27.301248381388444,22.02057662843498,49.32182500982343,0.2007857142857143,0.2007857142857143,0.13466666666666668,0.250375
0.2,24,11,13,11.685663427419714,23.202547522661234,20.05596495551309,43.258512478174325,0.15116666666666664,0.15116666666666664,0.10127272727272726,0.19338461538461538
0.21,26,13,13,13.101125726184199,25.625984159633163,21.93215387007848,47.55813802971164,0.12592307692307692,0.12592307692307692,0.09353846153846156,0.1583076923076923
0.22,23,10,13,11.831753881830837,22.21362441754926,18.90685728754499,41.12048170509425,0.1472173913043478,0.1472173913043478,0.0774,0.2009230769230769
0.23,25,14,11,13.30851995015527,24.402749141880193,21.240798972165432,45.64354811404563,0.13096,0.13096,0.14857142857142858,0.10854545454545454
0.24,26,13,13,14.32072354445596,25.333823929759184,22.029147117527693,47.36297104728688,0.15576923076923077,0.15576923076923077,0.16030769230769232,0.15123076923076922
0.25,25,13,12,14.171346629500722,24.378841135636495,20.766158513863218,45.14499964949971,0.15575999999999998,0.15575999999999998,0.08507692307692308,0.2323333333333333
0.26,26,14,12,15.775065665230164,25.27834884906764,20.811273959342525,46.08962280841017,0.1679230769230769,0.1679230769230769,0.12728571428571428,0.2153333333333333
0.27,27,15,12,16.028006778779574,26.13655818342907,23.283218698847506,49.41977688227658,0.13718518518518522,0.13718518518518522,0.136,0.1386666666666667
0.28,26,12,14,16.49062118169012,25.490564543603366,20.990679702028107,46.48124424563147,0.1553076923076923,0.1553076923076923,0.12316666666666665,0.18285714285714286
0.29,29,15,14,19.261195550040508,28.116500481723545,22.56521680328005,50.6817172850036,0.17289655172413793,0.17289655172413793,0.10866666666666666,0.24171428571428571
0.3,27,15,12,17.944994848049777,26.079837248803305,21.909951592423614,47.98978884122692,0.17451851851851852,0.17451851851851852,0.12826666666666667,0.2323333333333333
0.31,27,12,15,18.263098870691486,26.211106154386584,22.226259157959618,48.4373653123462,0.17407407407407408,0.17407407407407408,0.11833333333333333,0.21866666666666662
0.32,25,13,12,16.910469634803984,24.095634107334522,20.685957279960483,44.78159138729501,0.16279999999999997,0.16279999999999997,0.16415384615384615,0.16133333333333333
0.33,28,14,14,20.733349684801,27.274995806382165,20.54420560469705,47.81920141107922,0.2370714285714286,0.2370714285714286,0.15885714285714286,0.3152857142857143
0.34,25,13,12,17.79543213202109,24.18480862576125,21.381283500006607,45.56609212576785,0.11567999999999999,0.11567999999999999,0.10353846153846155,0.12883333333333333
0.35000000000000003,28,13,15,20.65634662593903,27.14826154149314,22.77659951112154,49.92486105261468,0.15528571428571428,0.15528571428571428,0.12615384615384617,0.18053333333333335
0.36,28,16,12,20.90957041725158,27.20144150810343,23.775650313878423,50.97709182198185,0.12350000000000001,0.12350000000000001,0.1105,0.14083333333333334
0.37,27,14,13,21.034485841072776,26.343459723594577,21.915767324584454,48.25922704817903,0.17407407407407405,0.17407407407407405,0.12157142857142858,0.23061538461538464
0.38,26,15,11,20.442869692399228,25.340491861007337,21.91198401079491,47.25247587180225,0.12838461538461537,0.12838461538461537,0.1068,0.15781818181818183
0.39,26,13,13,21.047886429027752,25.30510344011931,20.24162037395703,45.546723814076344,0.15853846153846154,0.15853846153846154,0.11107692307692307,0.206
0.4,26,15,11,21.141329698395932,25.01931927623389,22.244380833530407,47.2637001097643,0.13746153846153847,0.13746153846153847,0.1509333333333333,0.1190909090909091
0.41000000000000003,24,13,11,19.81768528027579,23.078096318101988,19.153921074129226,42.232017392231214,0.1575,0.1575,0.1515384615384615,0.16454545454545452
0.42,21,11,10,17.62899449957469,20.557588369014038,19.740912334903076,40.298500703917114,0.10285714285714287,0.10285714285714287,0.08945454545454545,0.1176
0.43,25,11,14,21.73452747797031,24.253030336662007,20.80058013025366,45.05361046691567,0.15432,0.15432,0.09781818181818182,0.1987142857142857
0.44,22,11,11,19.596006472760934,21.619023670134816,18.56845490296912,40.18747857310393,0.1408181818181818,0.1408181818181818,0.10836363636363636,0.17327272727272727
0.45,23,9,14,20.832765623669644,22.41599901107738,18.460500830382674,40.87649984146005,0.14991304347826087,0.14991304347826087,0.04911111111111111,0.2147142857142857
