gamma,total_matches,early_matches,regular_matches,headhunter_welfare,firm_welfare,worker_welfare,match_welfare,avg_worker_rank_diff,avg_firm_rank_diff,avg_rank_diff_period0,avg_rank_diff_period1
0.12,26,15,11,25.330321003663673,25.142863429878787,19.29404960670694,44.43691303658572,0.2037692307692308,0.2037692307692308,0.20719999999999997,0.1990909090909091
0.13,21,11,10,20.7173523328399,20.548168981347022,18.936650464966938,39.48481944631396,0.11685714285714287,0.11685714285714287,0.09181818181818181,0.1444
0.14,26,14,12,25.62349120067528,25.276031204760976,19.948665731827813,45.224696936588785,0.18192307692307694,0.18192307692307694,0.19228571428571425,0.1698333333333333
0.15,27,14,13,26.579669143336424,26.191822840245347,21.667858497034818,47.859681337280165,0.19496296296296298,0.19496296296296298,0.1724285714285714,0.21923076923076923
0.16,26,13,13,25.675704193563206,25.36680273629096,20.394171633210284,45.76097436950124,0.17038461538461538,0.17038461538461538,0.12353846153846153,0.21723076923076923
0.17,32,17,15,31.44875974997365,31.12065448192962,24.18127736689233,55.30193184882195,0.22818750000000002,0.22818750000000002,0.1971764705882353,0.26333333333333336
0.18,26,11,15,25.747308159618267,25.585515372498524,20.688347593545803,46.27386296604433,0.16823076923076924,0.16823076923076924,0.142,0.1874666666666667
0.19,26,11,15,25.660758686307076,25.41116965915942,19.99399913634505,45.405168795504466,0.21276923076923077,0.21276923076923077,0.16181818181818183,0.2501333333333333
0.2,23,11,12,22.562949528818525,22.271166942403088,19.664860387473063,41.936027329876154,0.12895652173913044,0.12895652173913044,0.08563636363636364,0.16866666666666666
0.21,28,14,14,27.711011332803487,27.55790814152766,22.116319111932572,49.67422725346023,0.18685714285714286,0.18685714285714286,0.17557142857142857,0.19814285714285712
0.22,23,10,13,22.3456561773613,22.21362441754926,18.29786349527999,40.51148791282925,0.17017391304347826,0.17017391304347826,0.0758,0.2427692307692308
0.23,27,15,12,26.598144243713726,26.31422014990599,22.241669202756455,48.55588935266245,0.15162962962962964,0.15162962962962964,0.14053333333333334,0.1655
0.24,28,15,13,27.56613227244734,27.223289622425643,21.907837297850744,49.13112692027639,0.20985714285714283,0.20985714285714283,0.2064,0.21384615384615385
0.25,24,13,11,23.52945430827229,23.430472645314886,19.04926269350579,42.479735338820674,0.18716666666666668,0.18716666666666668,0.14723076923076922,0.23436363636363636
0.26,25,14,11,24.636822803452983,24.335877331234197,20.540619809699788,44.876497140933985,0.14648,0.14648,0.12671428571428572,0.17163636363636364
0.27,29,17,12,28.4846591873651,28.011374008876135,24.044380864140628,52.05575487301677,0.1653103448275862,0.1653103448275862,0.17376470588235296,0.15333333333333332
0.28,28,16,12,27.6062447463447,27.408187089139222,21.54253154148811,48.950718630627335,0.19450000000000003,0.19450000000000003,0.2385,0.13583333333333333
0.29,27,13,14,26.605518775973266,26.217854471402873,21.27226605414439,47.49012052554726,0.16096296296296297,0.16096296296296297,0.08430769230769232,0.23214285714285715
0.3,27,16,11,26.529526030107935,26.08044590253267,21.569723637660385,47.650169540193055,0.18429629629629632,0.18429629629629632,0.17787499999999998,0.19363636363636363
0.31,27,12,15,26.57195484737901,26.211106154386584,21.21750382284873,47.42860997723531,0.20666666666666664,0.20666666666666664,0.10433333333333333,0.28853333333333336
0.32,26,13,13,25.24770678186475,25.0355844535936,21.32794550568501,46.36352995927861,0.16976923076923076,0.16976923076923076,0.16953846153846155,0.16999999999999998
0.33,28,14,14,27.605885015327885,27.275007382458934,19.85212246653808,47.127129848997015,0.2612142857142857,0.2612142857142857,0.1427142857142857,0.3797142857142857
0.34,27,15,12,26.454552819479545,26.04883813470828,20.824652730375774,46.87349086508405,0.19696296296296295,0.19696296296296295,0.2084,0.18266666666666664
0.35000000000000003,28,14,14,27.41424047473271,27.15550411907635,21.612113070284806,48.76761718936116,0.19614285714285717,0.19614285714285717,0.14942857142857144,0.24285714285714288
0.36,28,16,12,27.487557512293677,27.20287508361812,23.204310657684086,50.40718574130221,0.14300000000000002,0.14300000000000002,0.10725,0.19066666666666668
0.37,26,14,12,25.675978475014617,25.389397488471136,21.807712970803873,47.19711045927501,0.15015384615384614,0.15015384615384614,0.14357142857142854,0.15783333333333335
0.38,30,16,14,29.524876412341506,29.138414832485964,23.955586329929588,53.09400116241555,0.1734,0.1734,0.135375,0.21685714285714286
0.39,25,12,13,24.49780582137174,24.354923481249504,18.025269351264885,42.38019283251439,0.21584,0.21584,0.11033333333333334,0.31323076923076926
0.4,27,15,12,26.463568977796825,25.957464226463625,22.12950108624079,48.086965312704415,0.17629629629629628,0.17629629629629628,0.17279999999999998,0.18066666666666667
0.41000000000000003,23,13,10,22.27909966892645,22.13746865893083,18.79365874320868,40.93112740213951,0.14504347826086958,0.14504347826086958,0.15738461538461537,0.129
0.42,22,11,11,21.731911098486076,21.511952420304475,19.174011913487735,40.685964333792214,0.16354545454545455,0.16354545454545455,0.102,0.2250909090909091
0.43,26,12,14,25.570118067370764,25.19897670053309,21.4918767998009,46.690853500333986,0.1599230769230769,0.1599230769230769,0.08733333333333333,0.22214285714285714
0.44,22,11,11,21.80205221748032,21.61865685235722,19.110839123331477,40.72949597568869,0.11154545454545453,0.11154545454545453,0.10127272727272726,0.12181818181818183
0.45,23,10,13,22.654881578968112,22.41591560934879,18.790736259411553,41.206651868760346,0.1337391304347826,0.1337391304347826,0.0716,0.18153846153846154
0.46,27,12,15,26.71622453078217,26.488969783542935,21.514455330545523,48.00342511408846,0.19037037037037036,0.19037037037037036,0.1673333333333333,0.20879999999999999
0.47000000000000003,24,12,12,23.449595680685118,23.31427692300328,19.18294559078415,42.497222513787435,0.18283333333333332,0.18283333333333332,0.12,0.24566666666666667
0.48,26,12,14,25.519426586284766,25.2011434959049,21.945695801167094,47.14683929707199,0.14484615384615387,0.14484615384615387,0.082,0.1987142857142857
0.49,25,14,11,24.548602002308513,24.164665621464017,20.71281170222783,44.87747732369185,0.12984,0.12984,0.10757142857142857,0.1581818181818182
0.5,24,14,10,23.592980280438812,23.435324130791177,20.54514817687157,43.98047230766275,0.10149999999999999,0.10149999999999999,0.08328571428571428,0.127
0.51,25,13,12,24.65708979116978,24.429530811269213,20.70315394870607,45.132684759975284,0.146,0.146,0.13246153846153846,0.16066666666666665
0.52,27,13,14,26.625201909023684,26.256192750348298,23.869020075859027,50.125212826207324,0.10540740740740742,0.10540740740740742,0.07046153846153848,0.13785714285714287
0.53,27,13,14,26.46424448038404,26.098909443092865,21.08616287445878,47.18507231755164,0.1885185185185185,0.1885185185185185,0.12953846153846152,0.24328571428571424
0.54,27,13,14,26.42526698806107,26.21319613937484,21.226261809345697,47.43945794872054,0.19377777777777774,0.19377777777777774,0.11692307692307692,0.2651428571428571
0.55,29,14,15,28.62663622667483,28.36545760824566,23.211898985669023,51.577356593914686,0.16696551724137926,0.16696551724137926,0.11099999999999999,0.2192
0.56,25,12,13,24.840997973102272,24.71899110250298,20.018912827794566,44.73790393029755,0.17392,0.17392,0.15266666666666664,0.19353846153846155
0.5700000000000001,28,12,16,27.52533529940823,27.5210012157547,22.11876970907308,49.639770924827786,0.19514285714285712,0.19514285714285712,0.12,0.2515
0.58,24,11,13,23.471890873665227,23.470460750728957,18.98191348665215,42.45237423738111,0.15275000000000002,0.15275000000000002,0.06981818181818182,0.22292307692307695
0.59,27,14,13,26.72751114066736,26.463469466946414,22.097451554059006,48.56092102100542,0.1726666666666667,0.1726666666666667,0.13214285714285715,0.21630769230769228
0.6,29,15,14,28.320455074160403,28.180651569565107,23.451020499132184,51.63167206869729,0.19786206896551722,0.19786206896551722,0.14146666666666666,0.2582857142857143
0.61,23,10,13,22.561921503678317,22.575062507086084,17.695839772146385,40.27090227923247,0.17895652173913046,0.17895652173913046,0.068,0.26430769230769235
0.62,26,11,15,25.548167421978,25.33130811295471,21.97203047965833,47.30333859261304,0.1306923076923077,0.1306923076923077,0.061090909090909085,0.18173333333333333
0.63,22,10,12,21.7645547276311,21.552088423037077,16.616463006469814,38.16855142950689,0.1659090909090909,0.1659090909090909,0.0856,0.2328333333333333
0.64,24,10,14,23.67206359872047,23.513523224455085,20.2428265471693,43.756349771624386,0.12325000000000001,0.12325000000000001,0.06180000000000001,0.16714285714285718
0.65,25,11,14,24.443566830817222,24.256274891633492,19.995766820471264,44.252041712104756,0.16744,0.16744,0.09127272727272727,0.22728571428571426
0.66,23,11,12,22.711932217921586,22.509262237518104,17.780785103479722,40.29004734099783,0.16304347826086957,0.16304347826086957,0.08763636363636364,0.23216666666666672
0.67,19,8,11,18.79992935174802,18.657431085136626,15.164248371451102,33.82167945658773,0.16968421052631577,0.16968421052631577,0.0555,0.2527272727272727
0.68,27,10,17,26.405457044327576,26.046869603426558,20.617016587939066,46.66388619136562,0.20022222222222222,0.20022222222222222,0.047,0.2903529411764706
