num_headhunters,total_matches,early_matches,regular_matches,headhunter_welfare,firm_welfare,worker_welfare,match_welfare,avg_worker_rank_diff,avg_firm_rank_diff,avg_rank_diff_period0,avg_rank_diff_period1
20,25,10,15,24.687683164103063,24.461570449884288,20.47552983186171,44.937100281746,0.16512000000000002,0.16512000000000002,0.10500000000000001,0.20520000000000002
21,23,10,13,22.56312854704551,22.271524978857048,19.854932444372633,42.12645742322968,0.12478260869565218,0.12478260869565218,0.056600000000000004,0.17723076923076925
22,26,13,13,25.749902394567695,25.625984159633163,20.76659871928194,46.39258287891511,0.177,0.177,0.12492307692307693,0.22907692307692307
23,21,10,11,20.423707990772268,20.32430960412541,17.508658691044545,37.832968295169955,0.13266666666666665,0.13266666666666665,0.082,0.17872727272727273
24,24,13,11,23.66950612602938,23.443840396484124,18.70756039188246,42.15140078836659,0.20516666666666664,0.20516666666666664,0.16384615384615384,0.25400000000000006
25,22,10,12,21.717133450435654,21.505786604645625,19.265068125111238,40.77085472975686,0.13390909090909095,0.13390909090909095,0.10239999999999998,0.16016666666666665
26,21,10,11,20.614667449038485,20.55445342325098,17.45409810081354,38.008551524064515,0.14952380952380953,0.14952380952380953,0.08399999999999999,0.20909090909090908
27,20,8,12,19.761267919342764,19.572321218148115,15.936153874065603,35.508475092213715,0.1758,0.1758,0.06175,0.2518333333333333
28,22,12,10,21.68601566460907,21.403935603397816,18.901314615655693,40.305250219053505,0.1419090909090909,0.1419090909090909,0.12183333333333331,0.166
29,22,11,11,21.74384900228112,21.64146040177282,17.488914338066067,39.130374739838885,0.18154545454545457,0.18154545454545457,0.10545454545454547,0.25763636363636366
30,22,9,13,21.728804773091056,21.463164073146523,17.288760268856834,38.751924342003356,0.17545454545454545,0.17545454545454545,0.08755555555555555,0.2363076923076923
31,19,11,8,18.747492666303216,18.510040258681226,15.681585245919646,34.19162550460087,0.16568421052631577,0.16568421052631577,0.1109090909090909,0.241
32,17,9,8,16.832804089157893,16.707917060304126,15.150949694243945,31.85886675454807,0.1196470588235294,0.1196470588235294,0.13133333333333336,0.10650000000000001
33,19,9,10,18.506060330429502,18.406860926528914,16.137801433599986,34.544662360128896,0.14757894736842103,0.14757894736842103,0.126,0.16699999999999998
34,16,6,10,15.880196227750645,15.7965280851031,13.56663678505171,29.36316487015481,0.12250000000000001,0.12250000000000001,0.026333333333333334,0.18019999999999997
35,16,8,8,15.799071062804193,15.680946567533843,13.428760675955058,29.1097072434889,0.13649999999999998,0.13649999999999998,0.09975,0.17325
36,18,9,9,17.71525395310364,17.64073708667146,14.916477177036416,32.55721426370788,0.14622222222222223,0.14622222222222223,0.1491111111111111,0.14333333333333334
37,20,10,10,19.706449613994053,19.575584984438663,16.814062870591556,36.38964785503022,0.1374,0.1374,0.0786,0.1962
